Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
15713980389,MTV UK,These ads ran without a disclaimer,≤100,2
1210034445780962,Міжнародне радіо Китаю,These ads ran without a disclaimer,≤100,1
107079421233040,Jacqueline S Chinwe,These ads ran without a disclaimer,≤100,1
101304435646725,Элитная недвижимость в Москве,These ads ran without a disclaimer,≤100,1
110388535169611,Energieportalschweiz.ch,These ads ran without a disclaimer,≤100,1
126044970804032,Heilsarmee Jugend,These ads ran without a disclaimer,≤100,1
6045482289,Roberto Cacciapaglia,These ads ran without a disclaimer,≤100,1
107961755224601,Crazy Hospital,These ads ran without a disclaimer,≤100,1
64982236830,Alumni Association of the University of Michigan,These ads ran without a disclaimer,≤100,1
101684119381451,Trend Worthy,These ads ran without a disclaimer,≤100,1
191193637612148,bitpiloten,These ads ran without a disclaimer,≤100,1
105699708610413,The Kyiv Independent,These ads ran without a disclaimer,≤100,1
108831895470451,Your Story Next,These ads ran without a disclaimer,≤100,1
1762894757117588,Idiomus,These ads ran without a disclaimer,≤100,1
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,11
323163344709286,KOROLOVA,These ads ran without a disclaimer,≤100,1
239295866437866,Eagle Natural Resources,These ads ran without a disclaimer,≤100,2
2624693567603786,Far So Close,These ads ran without a disclaimer,≤100,1
1631535970192299,Душевный марафон Яны Котовой,These ads ran without a disclaimer,≤100,1
102500518635499,ENTR en,These ads ran without a disclaimer,≤100,1
109412654823493,Rhamnous Websites and Applications,These ads ran without a disclaimer,≤100,1
109188088409564,more_ing.art,These ads ran without a disclaimer,≤100,1
100480782712459,Anolis Lighting,These ads ran without a disclaimer,≤100,2
164889460226684,Sophie#1234567+,These ads ran without a disclaimer,≤100,4
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,1
108677198363140,blacklivesfromgeneration,These ads ran without a disclaimer,≤100,1
107022615181794,des_marka,These ads ran without a disclaimer,≤100,1
110842371375639,travel.withmichael,These ads ran without a disclaimer,≤100,1
105735065616245,SOFAR,These ads ran without a disclaimer,≤100,1
2236871059963655,العين فارسى AlAin Persian,These ads ran without a disclaimer,≤100,1
176023125783888,Pulpe de Vie,These ads ran without a disclaimer,≤100,1
340577086006224,CRI German,These ads ran without a disclaimer,≤100,1
105646628242035,Money Sense,These ads ran without a disclaimer,≤100,1
751425078204940,Edition NoName,These ads ran without a disclaimer,≤100,1
103172615751312,Switch2Zero,These ads ran without a disclaimer,≤100,3
387062522084757,The Dressing Blog,These ads ran without a disclaimer,≤100,2
100617599250020,XuQinduo,These ads ran without a disclaimer,≤100,1
